userName;score;at;content;Unnamed: 4;Unnamed: 5;score_ SH.;score_1;score_2;score_3;score_4;score_5;Unnamed: 5_Baik;Unnamed: 4_14/10/2024 17.02
SangFajar Agustian;1;14/10/2024 13.24;Tahii;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
Ziano Pros;1;14/10/2024 13.23;wowwwww dadarrrr biadappp, luuu kalokk ngasihh notipp sarann polow jangann adaa diaaa, biadapp manusiaa satuu ituu dasarr apk gajelass, gww hapuss luuu;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
Ihsan Ramadhan;5;14/10/2024 13.22;Wahhh bagus bangett Semangat mengembangkan aplikasi nya;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
fitri dwiyani;5;14/10/2024 13.21;Bagus;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Lia Akmalia;2;14/10/2024 13.16;bug saat mengumpan draf postingan dan pas di edit;14/10/2024 17.02;Baik;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE
Fajar Daniel;1;14/10/2024 13.15;Saya sangat butuh fitur history tontonan plsss 🙏;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
Acer asgar;3;14/10/2024 13.14;Bagus baget;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
Asriga Erdi Leba;5;14/10/2024 13.10;Folowersku sering berkurang ngak tau kenapa 😴;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Ekasari Mardiyanti;5;14/10/2024 13.09;Good;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Riska Amelia;5;14/10/2024 13.08;Saya kasih Bintang 5, walaupun bnyk bug, saya sadar diri klo saya ga bakal bisa buat aplikasi ini😫;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Chalista Putri;5;14/10/2024 13.06;Singkat,padat,jelas enak bangettt🙏😅🤭🤣🤣🤣🤣🤣🤣🤣🤣;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Riski Maulana;3;14/10/2024 13.03;tolong benerin bug sg nya min,pas memposting ulang, kadang lagu nya hilang;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
neneng levie;5;14/10/2024 13.00;👍👍👍;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
Dandi Suhendra;1;14/10/2024 12.55;setalah di update akun saya malah kena tangguhkan. padahal tidak melanggar hak apapun dari Instagram. entah ini emang bug atau apa udah disuruh tunggu 2 hari, sampai sekarang belum bisa diakses sama sekali.;14/10/2024 17.02;Baik;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
Dika Official;5;14/10/2024 12.54;Memudahkan untuk menemukan teman jauh;14/10/2024 17.02;Baik;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE
